loan_id,reporting_month,status,decided_by,exception_probability,anomaly_score,predicted_type,rules_broken,why_unusual,actual_exception_type
LN101505,2022-04-01,60DPD,rule,0.98,1.0,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.032 against a median of -0.00469, 87.7th percentile) | distance from the contractual payment schedule is above the typical range (1.042 against a median of -0.001562, 99.6th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN101073,2021-09-01,60DPD,rule,0.98,0.9598,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.015 against a median of -0.00469, 87.5th percentile) | distance from the contractual payment schedule is above the typical range (1.129 against a median of -0.001562, 99.9th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN100389,2020-11-01,Current,rule,0.98,0.9184,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.009 against a median of -0.00469, 87.3th percentile) | distance from the contractual payment schedule is above the typical range (1.021 against a median of -0.001562, 99.3th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN101343,2023-05-01,60DPD,rule,0.98,0.917,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.023 against a median of -0.00469, 87.6th percentile) | distance from the contractual payment schedule is above the typical range (1.027 against a median of -0.001562, 99.4th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN101013,2023-04-01,Current,rule,0.98,0.8771,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.002 against a median of -0.00469, 87.1th percentile) | distance from the contractual payment schedule is above the typical range (1.011 against a median of -0.001562, 99.1th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN100287,2023-11-01,Current,rule,0.98,0.8747,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.153 against a median of -0.00469, 88.1th percentile) | distance from the contractual payment schedule is above the typical range (1.222 against a median of -0.001562, 100.0th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN100354,2023-07-01,60DPD,rule,0.98,0.8651,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.037 against a median of -0.00469, 87.8th percentile) | distance from the contractual payment schedule is above the typical range (1.04 against a median of -0.001562, 99.6th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN101343,2023-10-01,Current,rule,0.98,0.865,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.023 against a median of -0.00469, 87.6th percentile) | distance from the contractual payment schedule is above the typical range (1.034 against a median of -0.001562, 99.5th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN100485,2022-10-01,30DPD,rule,0.98,0.8596,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.055 against a median of -0.00469, 88.0th percentile) | distance from the contractual payment schedule is above the typical range (1.06 against a median of -0.001562, 99.8th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN100141,2023-12-01,Current,rule,0.98,0.8595,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.062 against a median of -0.00469, 88.0th percentile) | distance from the contractual payment schedule is above the typical range (1.076 against a median of -0.001562, 99.9th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN100546,2023-06-01,Current,rule,0.98,0.8528,balance rose without a recorded modification,balance increased with no modification on file; servicer feed disagrees with the panel; balance within original,"balance movement over the last three months is above the typical range (1.166 against a median of -0.00469, 88.2th percentile) | distance from the contractual payment schedule is above the typical range (1.235 against a median of -0.001562, 100.0th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN100157,2023-11-01,Current,rule,0.98,0.8402,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.125 against a median of -0.00469, 88.1th percentile) | distance from the contractual payment schedule is above the typical range (1.168 against a median of -0.001562, 100.0th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN100552,2023-10-01,Current,rule,0.98,0.8385,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.18 against a median of -0.00469, 88.2th percentile) | distance from the contractual payment schedule is above the typical range (1.269 against a median of -0.001562, 100.0th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN101331,2023-11-01,Current,rule,0.98,0.8192,balance rose without a recorded modification,balance increased with no modification on file; balance within original,"balance movement over the last three months is above the typical range (1.084 against a median of -0.00469, 88.1th percentile) | distance from the contractual payment schedule is above the typical range (1.079 against a median of -0.001562, 99.9th percentile) | share of the original balance still outstanding is above the typical range (2 against a median of 0.9738, 98.8th percentile)",balance_inconsistency
LN101611,2022-10-01,Default,rule,0.98,0.8182,documents missing on a closed loan,documents incomplete at closure,"balance movement over the last three months is above the typical range (0 against a median of -0.00469, 85.7th percentile) | distance from the contractual payment schedule is above the typical range (0.05858 against a median of -0.001562, 98.3th percentile) | months left on the term is below the typical range (150 against a median of 340, 4.0th percentile)",document_gap
LN101153,2023-12-01,90DPD,anomaly score only,0.4698,0.9397,no exception,none,"balance movement over the last three months is above the typical range (0 against a median of -0.00469, 85.7th percentile) | distance from the contractual payment schedule is above the typical range (0.08897 against a median of -0.001562, 98.8th percentile) | months left on the term is below the typical range (123 against a median of 340, 0.0th percentile)",none
LN101807,2023-12-01,90DPD,anomaly score only,0.4654,0.9308,no exception,none,"balance movement over the last three months is above the typical range (0 against a median of -0.00469, 85.7th percentile) | distance from the contractual payment schedule is above the typical range (0.07779 against a median of -0.001562, 98.7th percentile) | months left on the term is below the typical range (136 against a median of 340, 1.0th percentile)",none
LN101073,2022-04-01,90DPD,anomaly score only,0.4562,0.9125,no exception,none,"distance from the contractual payment schedule is above the typical range (0.1445 against a median of -0.001562, 98.8th percentile) | balance movement over the last three months is above the typical range (0 against a median of -0.00469, 85.7th percentile) | months left on the term is below the typical range (142 against a median of 340, 2.0th percentile)",none
LN101073,2022-05-01,90DPD,anomaly score only,0.4562,0.9124,no exception,none,"distance from the contractual payment schedule is above the typical range (0.149 against a median of -0.001562, 98.8th percentile) | balance movement over the last three months is above the typical range (0 against a median of -0.00469, 85.7th percentile) | months left on the term is below the typical range (141 against a median of 340, 1.8th percentile)",none
LN101073,2021-12-01,60DPD,anomaly score only,0.4551,0.9103,no exception,none,"balance movement over the last three months is below the typical range (-1.015 against a median of -0.00469, 0.8th percentile) | distance from the contractual payment schedule is above the typical range (0.1266 against a median of -0.001562, 98.8th percentile) | months left on the term is below the typical range (146 against a median of 340, 2.9th percentile)",none
LN101917,2023-02-01,60DPD,anomaly score only,0.4548,0.9095,no exception,servicer feed disagrees with the panel,"balance movement over the last three months is above the typical range (0 against a median of -0.00469, 85.7th percentile) | distance from the contractual payment schedule is above the typical range (0.07142 against a median of -0.001562, 98.7th percentile) | months left on the term is below the typical range (139 against a median of 340, 1.4th percentile)",none
LN101073,2022-03-01,60DPD,anomaly score only,0.4548,0.9095,no exception,none,"distance from the contractual payment schedule is above the typical range (0.14 against a median of -0.001562, 98.8th percentile) | balance movement over the last three months is above the typical range (0 against a median of -0.00469, 85.7th percentile) | months left on the term is below the typical range (143 against a median of 340, 2.2th percentile)",none
LN101073,2022-02-01,60DPD,anomaly score only,0.4518,0.9036,no exception,none,"distance from the contractual payment schedule is above the typical range (0.1355 against a median of -0.001562, 98.8th percentile) | balance movement over the last three months is above the typical range (0 against a median of -0.00469, 85.7th percentile) | months left on the term is below the typical range (144 against a median of 340, 2.4th percentile)",none
LN101153,2023-11-01,60DPD,anomaly score only,0.45,0.8999,no exception,none,"balance movement over the last three months is above the typical range (0 against a median of -0.00469, 85.7th percentile) | distance from the contractual payment schedule is above the typical range (0.08403 against a median of -0.001562, 98.8th percentile) | months left on the term is below the typical range (124 against a median of 340, 0.1th percentile)",none
LN101073,2022-01-01,60DPD,anomaly score only,0.4466,0.8933,no exception,none,"distance from the contractual payment schedule is above the typical range (0.131 against a median of -0.001562, 98.8th percentile) | balance movement over the last three months is above the typical range (0 against a median of -0.00469, 85.7th percentile) | months left on the term is below the typical range (145 against a median of 340, 2.6th percentile)",none
