loan_id,origination_month,original_balance,original_term_months,original_interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,property_type,occupancy_type,servicer_name,vintage
LN100000,2023-12-01,281400.0,360,5.439,740-779,81-90,44-50,FL,Purchase,Single Family,Investment,Sunrise Servicing,2023
LN100001,2020-09-01,155400.0,180,4.159,740-779,81-90,31-36,PA,Purchase,Single Family,Primary,Cornerstone Servicing,2020
LN100002,2021-10-01,383500.0,180,3.963,700-739,91-95,44-50,NC,Purchase,Single Family,Primary,Meridian Loan Services,2021
LN100003,2021-09-01,407700.0,360,3.275,780+,61-70,21-30,OH,Purchase,Condo,Primary,Cornerstone Servicing,2021
LN100004,2023-05-01,293100.0,360,5.712,620-659,<=60,37-43,IL,Purchase,Single Family,Primary,Meridian Loan Services,2023
LN100005,2021-04-01,404700.0,360,3.339,780+,81-90,<=20,NC,Purchase,Single Family,Primary,Meridian Loan Services,2021
LN100006,2020-06-01,231700.0,180,5.085,620-659,71-80,31-36,AZ,Purchase,Single Family,Primary,Apex Mortgage Co,2020
LN100007,2019-02-01,631200.0,180,4.468,620-659,61-70,21-30,OH,Cash-Out Refinance,Condo,Primary,Cornerstone Servicing,2019
LN100008,2020-11-01,323100.0,180,4.203,700-739,61-70,<=20,PA,Purchase,Single Family,Investment,Apex Mortgage Co,2020
LN100009,2023-04-01,154000.0,360,6.14,<620,71-80,<=20,NC,Cash-Out Refinance,Single Family,Second Home,Sunrise Servicing,2023
LN100010,2019-01-01,238300.0,180,4.679,<620,<=60,31-36,MI,Purchase,Multi-Family,Primary,Meridian Loan Services,2019
LN100011,2023-08-01,215600.0,360,5.999,<620,<=60,37-43,AZ,Purchase,Multi-Family,Primary,Cornerstone Servicing,2023
LN100012,2021-10-01,206300.0,360,4.188,700-739,91-95,31-36,TX,Purchase,Single Family,Investment,Sunrise Servicing,2021
LN100013,2019-09-01,109600.0,360,3.832,740-779,71-80,21-30,TX,Purchase,Single Family,Primary,Cornerstone Servicing,2019
LN100014,2020-07-01,274900.0,360,5.07,<620,>95,>50,OH,Purchase,Single Family,Primary,Cornerstone Servicing,2020
LN100015,2021-11-01,123800.0,180,3.761,740-779,>95,>50,NY,Cash-Out Refinance,Condo,Primary,Meridian Loan Services,2021
LN100016,2020-08-01,74100.0,360,4.019,740-779,61-70,21-30,OH,Refinance,Single Family,Second Home,Apex Mortgage Co,2020
LN100017,2019-07-01,197800.0,360,4.498,620-659,81-90,31-36,PA,Refinance,Multi-Family,Primary,Apex Mortgage Co,2019
LN100018,2022-06-01,164400.0,360,5.23,620-659,81-90,37-43,WA,Purchase,Condo,Primary,Highland Capital Servicing,2022
LN100019,2022-06-01,156700.0,360,3.919,780+,81-90,37-43,NY,Purchase,Single Family,Primary,Highland Capital Servicing,2022
LN100020,2019-08-01,60000.0,180,3.487,740-779,<=60,31-36,NC,Refinance,Single Family,Primary,Sunrise Servicing,2019
LN100021,2020-06-01,157500.0,360,4.336,700-739,61-70,37-43,TX,Purchase,Multi-Family,Primary,Meridian Loan Services,2020
LN100022,2020-04-01,213600.0,360,3.65,740-779,<=60,21-30,IL,Purchase,Condo,Primary,Cornerstone Servicing,2020
LN100023,2022-05-01,173600.0,360,5.026,620-659,81-90,31-36,CA,Purchase,Condo,Primary,Meridian Loan Services,2022
LN100024,2022-10-01,274900.0,180,4.96,700-739,>95,37-43,IL,Purchase,Single Family,Investment,Meridian Loan Services,2022
LN100025,2022-10-01,432200.0,360,4.453,740-779,81-90,37-43,IL,Refinance,Condo,Primary,Highland Capital Servicing,2022
LN100026,2023-11-01,291400.0,180,5.826,660-699,81-90,44-50,NC,Purchase,Condo,Second Home,Sunrise Servicing,2023
LN100027,2022-12-01,366500.0,360,4.668,740-779,>95,<=20,GA,Purchase,Manufactured,Primary,Sunrise Servicing,2022
LN100028,2020-08-01,380400.0,180,4.515,700-739,81-90,21-30,FL,Cash-Out Refinance,Single Family,Primary,Highland Capital Servicing,2020
LN100029,2019-07-01,146000.0,360,3.647,740-779,<=60,<=20,CA,Cash-Out Refinance,Single Family,Primary,Sunrise Servicing,2019
LN100030,2022-03-01,281400.0,360,4.295,700-739,91-95,21-30,CA,Purchase,Single Family,Primary,Cornerstone Servicing,2022
LN100031,2023-09-01,361400.0,360,5.901,660-699,71-80,<=20,AZ,Purchase,Condo,Primary,Meridian Loan Services,2023
LN100032,2024-01-01,189800.0,360,5.502,660-699,<=60,31-36,WA,Refinance,Multi-Family,Primary,Sunrise Servicing,2024
LN100033,2020-03-01,161800.0,360,4.638,660-699,71-80,31-36,FL,Purchase,Single Family,Investment,Highland Capital Servicing,2020
LN100034,2020-03-01,293200.0,360,4.182,740-779,91-95,37-43,TX,Purchase,Single Family,Primary,Sunrise Servicing,2020
LN100035,2019-03-01,118600.0,360,4.9,620-659,61-70,31-36,NY,Purchase,Single Family,Investment,Meridian Loan Services,2019
LN100036,2019-09-01,141500.0,360,4.792,620-659,71-80,<=20,GA,Purchase,Single Family,Primary,Meridian Loan Services,2019
LN100037,2021-11-01,171100.0,180,4.67,620-659,61-70,37-43,FL,Cash-Out Refinance,Multi-Family,Primary,Apex Mortgage Co,2021
LN100038,2021-10-01,282900.0,360,4.735,620-659,<=60,<=20,CA,Refinance,Single Family,Primary,Apex Mortgage Co,2021
LN100039,2020-11-01,254900.0,180,3.523,740-779,<=60,44-50,NY,Cash-Out Refinance,Single Family,Primary,Sunrise Servicing,2020
LN100040,2020-08-01,367500.0,360,4.103,700-739,81-90,<=20,TX,Refinance,Multi-Family,Primary,Meridian Loan Services,2020
LN100041,2023-04-01,152500.0,360,4.612,780+,91-95,31-36,FL,Refinance,Single Family,Primary,Sunrise Servicing,2023
LN100042,2021-05-01,148900.0,180,4.891,620-659,61-70,44-50,TX,Refinance,Single Family,Primary,Sunrise Servicing,2021
LN100043,2023-03-01,292400.0,360,4.452,740-779,61-70,37-43,GA,Refinance,Single Family,Primary,Highland Capital Servicing,2023
LN100044,2023-12-01,161200.0,360,5.468,700-739,61-70,37-43,IL,Purchase,Single Family,Primary,Apex Mortgage Co,2023
LN100045,2020-08-01,176000.0,360,3.989,700-739,<=60,37-43,TX,Purchase,Single Family,Investment,Sunrise Servicing,2020
LN100046,2020-01-01,100200.0,360,3.578,780+,71-80,21-30,IL,Purchase,Single Family,Primary,Meridian Loan Services,2020
LN100047,2023-12-01,263300.0,360,5.08,780+,81-90,37-43,NY,Purchase,Single Family,Primary,Highland Capital Servicing,2023
LN100048,2022-04-01,462100.0,360,3.929,780+,81-90,44-50,PA,Purchase,Single Family,Primary,Meridian Loan Services,2022
LN100049,2020-07-01,145300.0,180,5.001,620-659,71-80,>50,AZ,Purchase,Single Family,Primary,Apex Mortgage Co,2020
LN100050,2022-03-01,365800.0,360,4.744,660-699,71-80,31-36,CA,Refinance,Single Family,Investment,Highland Capital Servicing,2022
LN100051,2021-08-01,224900.0,180,3.636,740-779,<=60,31-36,WA,Purchase,Single Family,Second Home,Highland Capital Servicing,2021
LN100052,2023-09-01,104400.0,360,5.607,660-699,61-70,37-43,NC,Purchase,Single Family,Primary,Highland Capital Servicing,2023
LN100053,2020-04-01,154400.0,360,4.334,740-779,91-95,31-36,GA,Purchase,Single Family,Primary,Meridian Loan Services,2020
LN100054,2024-02-01,150200.0,360,5.751,700-739,81-90,21-30,FL,Purchase,Condo,Second Home,Apex Mortgage Co,2024
LN100055,2023-11-01,200300.0,360,5.928,700-739,91-95,21-30,FL,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2023
LN100056,2019-12-01,278900.0,360,4.299,740-779,91-95,21-30,CA,Purchase,Single Family,Primary,Cornerstone Servicing,2019
LN100057,2019-11-01,530700.0,360,3.958,740-779,81-90,31-36,AZ,Purchase,Single Family,Primary,Sunrise Servicing,2019
LN100058,2021-10-01,121300.0,360,4.897,<620,91-95,21-30,OH,Purchase,Single Family,Primary,Cornerstone Servicing,2021
LN100059,2019-03-01,185700.0,360,4.585,<620,71-80,<=20,NY,Cash-Out Refinance,Single Family,Primary,Cornerstone Servicing,2019
LN100060,2020-07-01,154300.0,360,3.907,700-739,<=60,<=20,IL,Refinance,Single Family,Primary,Cornerstone Servicing,2020
LN100061,2021-03-01,130500.0,360,4.101,700-739,<=60,>50,CA,Purchase,Single Family,Investment,Meridian Loan Services,2021
LN100062,2024-01-01,241100.0,360,5.908,660-699,<=60,<=20,TX,Purchase,Condo,Primary,Apex Mortgage Co,2024
