target,case,loan_id,reporting_month,probability,actual,reviewer_note,top_factors
next_3m_delinquency_flag,highest predicted risk,LN101008,2023-05-01,0.99391,1,"The model put this loan at 99.4%. Weighing toward higher risk: consecutive months currently delinquent, days past due, payment status. Weighing the other way: state, distance from the contractual payment schedule. These are the factors the model leaned on, not established causes.",consecutive months currently delinquent (increases risk); days past due (increases risk); payment status (increases risk); state (reduces risk); distance from the contractual payment schedule (reduces risk)
next_3m_delinquency_flag,median predicted risk,LN100812,2022-12-01,0.06457,0,"The model put this loan at 6.5%. Weighing toward higher risk: months since origination, how far through its term the loan is. Weighing the other way: distance from the contractual payment schedule, loan-to-value ratio. These are the factors the model leaned on, not established causes.",months since origination (increases risk); distance from the contractual payment schedule (reduces risk); loan-to-value ratio (reduces risk); how far through its term the loan is (increases risk); months left on the term (reduces risk)
next_3m_delinquency_flag,lowest predicted risk,LN101497,2023-05-01,0.00284,0,"The model put this loan at 0.3%. Weighing the other way: loan-to-value ratio, original loan amount. These are the factors the model leaned on, not established causes.",loan-to-value ratio (reduces risk); original loan amount (reduces risk); refinance incentive versus other loans that month (reduces risk); state (reduces risk); debt-to-income ratio (reduces risk)
next_6m_delinquency_flag,highest predicted risk,LN101008,2023-05-01,0.99384,1,"The model put this loan at 99.4%. Weighing toward higher risk: consecutive months currently delinquent, days past due, original loan amount. Weighing the other way: number of status changes so far, debt-to-income ratio. These are the factors the model leaned on, not established causes.",consecutive months currently delinquent (increases risk); days past due (increases risk); number of status changes so far (reduces risk); original loan amount (increases risk); debt-to-income ratio (reduces risk)
next_6m_delinquency_flag,median predicted risk,LN101273,2023-05-01,0.03231,0,"The model put this loan at 3.2%. Weighing toward higher risk: months since origination, current balance, original loan amount. Weighing the other way: interest rate, refinance incentive versus other loans that month. These are the factors the model leaned on, not established causes.",interest rate (reduces risk); refinance incentive versus other loans that month (reduces risk); months since origination (increases risk); current balance (increases risk); original loan amount (increases risk)
next_6m_delinquency_flag,lowest predicted risk,LN100739,2023-04-01,0.00053,0,"The model put this loan at 0.1%. Weighing the other way: number of status changes so far, loan-to-value ratio. These are the factors the model leaned on, not established causes.",number of status changes so far (reduces risk); loan-to-value ratio (reduces risk); months left on the term (reduces risk); original loan amount (reduces risk); distance from the contractual payment schedule (reduces risk)
next_12m_default_flag,highest predicted risk,LN101589,2022-12-01,0.99999,0,"The model put this loan at 100.0%. These are the factors the model leaned on, not established causes.",months since origination (reduces risk); months left on the term (reduces risk); original loan amount (reduces risk); current balance (reduces risk); interest rate (reduces risk)
next_12m_default_flag,median predicted risk,LN100230,2022-03-01,0.00019,0,"The model put this loan at 0.0%. These are the factors the model leaned on, not established causes.",months since origination (reduces risk); months left on the term (reduces risk); original loan amount (reduces risk); current balance (reduces risk); interest rate (reduces risk)
next_12m_default_flag,lowest predicted risk,LN100806,2022-12-01,0.0,0,"The model put this loan at 0.0%. These are the factors the model leaned on, not established causes.",months since origination (reduces risk); months left on the term (reduces risk); original loan amount (reduces risk); current balance (reduces risk); interest rate (reduces risk)
next_12m_prepayment_flag,highest predicted risk,LN101095,2022-03-01,0.96374,0,"The model put this loan at 96.4%. Weighing toward higher risk: interest rate, rate paid above the market rate, current balance. These are the factors the model leaned on, not established causes.",interest rate (increases risk); rate paid above the market rate (increases risk); current balance (increases risk); original loan amount (increases risk); state (increases risk)
next_12m_prepayment_flag,median predicted risk,LN100088,2022-05-01,0.0726,0,"The model put this loan at 7.3%. Weighing toward higher risk: original loan amount, distance from the contractual payment schedule. Weighing the other way: state, rate paid above the market rate. These are the factors the model leaned on, not established causes.",original loan amount (increases risk); distance from the contractual payment schedule (increases risk); state (reduces risk); rate paid above the market rate (reduces risk); refinance incentive versus other loans that month (reduces risk)
next_12m_prepayment_flag,lowest predicted risk,LN101732,2022-08-01,0.00476,0,"The model put this loan at 0.5%. Weighing the other way: original loan amount, state. These are the factors the model leaned on, not established causes.",original loan amount (reduces risk); state (reduces risk); rate paid above the market rate (reduces risk); distance from the contractual payment schedule (reduces risk); property type (reduces risk)
